~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"22756","route","215","1189","airport","airport",2278
"22772","route","215","2264","airport","airport",252
"22788","route","215","3336","airport","airport",1095
"22804","route","216","118","airport","airport",1374
"22820","route","216","286","airport","airport",1471
"22836","route","216","1181","airport","airport",540
"22852","route","217","8","airport","airport",3733
"22868","route","217","47","airport","airport",2590
"22884","route","217","85","airport","airport",2315
"22899","route","217","179","airport","airport",1450
"22915","route","217","464","airport","airport",1580
"22931","route","218","47","airport","airport",2427
"22947","route","218","1284","airport","airport",209
"22963","route","219","241","airport","airport",443
"22979","route","220","10","airport","airport",1608
"22995","route","220","1292","airport","airport",37
"23011","route","223","9","airport","airport",1628
"23027","route","223","598","airport","airport",353
"23043","route","224","126","airport","airport",2809
"23059","route","224","837","airport","airport",145
"23075","route","225","5","airport","airport",1697
"23091","route","225","47","airport","airport",1741
"23107","route","225","190","airport","airport",1709
"23123","route","226","1708","airport","airport",566
"23139","route","227","34","airport","airport",346
"23154","route","228","73","airport","airport",1350
"23170","route","228","107","airport","airport",1718
"23186","route","228","230","airport","airport",1310
"23202","route","228","451","airport","airport",1832
"23218","route","228","533","airport","airport",2163
"23234","route","228","1733","airport","airport",1901
"23250","route","229","107","airport","airport",226
"23266","route","229","1237","airport","airport",370
"23282","route","230","73","airport","airport",125
"23298","route","230","95","airport","airport",937
"23314","route","230","169","airport","airport",459
"23330","route","230","274","airport","airport",831
"23346","route","230","433","airport","airport",684
"23362","route","230","497","airport","airport",623
"23378","route","230","784","airport","airport",758
"23394","route","230","1265","airport","airport",691
"23409","route","230","1730","airport","airport",804
"23425","route","231","63","airport","airport",2019
"23441","route","231","1009","airport","airport",776
"23457","route","232","66","airport","airport",1770
"23473","route","233","12","airport","airport",1986
"23489","route","233","573","airport","airport",433
"23505","route","234","69","airport","airport",3461
"23521","route","234","442","airport","airport",2185
"23537","route","234","2847","airport","airport",241
"23553","route","235","64","airport","airport",3252
"23569","route","235","213","airport","airport",3363
"23585","route","235","734","airport","airport",579
"23601","route","235","2865","airport","airport",1484
"23617","route","236","11","airport","airport",2126
"23633","route","237","16","airport","airport",1135
"23649","route","237","2171","airport","airport",419
"23664","route","238","17","airport","airport",1042
"23680","route","239","9","airport","airport",319
"23696","route","239","45","airport","airport",742
"23712","route","239","2090","airport","airport",647
"23728","route","240","31","airport","airport",1732
"23744","route","240","363","airport","airport",690
"23760","route","241","18","airport","airport",1982
"23776","route","241","80","airport","airport",4818
"23792","route","241","187","airport","airport",1918
"23808","route","242","10","airport","airport",94
"23824","route","243","10","airport","airport",2042
"23840","route","243","80","airport","airport",5971
"23856","route","243","2176","airport","airport",141
"23872","route","244","8","airport","airport",1427
"23888","route","244","31","airport","airport",906
"23904","route","244","605","airport","airport",358
"23919","route","246","243","airport","airport",347
"23935","route","248","50","airport","airport",1051
"23951","route","248","89","airport","airport",439
"23967","route","248","161","airport","airport",1122
"23983","route","248","318","airport","airport",517
"23999","route","248","511","airport","airport",1136
"24015","route","248","1311","airport","airport",255
"24031","route","249","59","airport","airport",1886
"24047","route","249","121","airport","airport",2173
"24063","route","249","315","airport","airport",1280
"24079","route","249","1167","airport","airport",355
"24095","route","249","2265","airport","airport",148
"24111","route","250","47","airport","airport",7725
"24127","route","250","70","airport","airport",5675
"24143","route","250","207","airport","airport",1762
"24159","route","250","523","airport","airport",2962
"24174","route","250","689","airport","airport",1242
"24190","route","250","843","airport","airport",5304
"24206","route","250","1474","airport","airport",1027
"24222","route","250","1502","airport","airport",507
"24238","route","250","1523","airport","airport",417
"24254","route","250","2935","airport","airport",909
"24270","route","250","3033","airport","airport",364
"24286","route","251","75","airport","airport",1326
"24302","route","251","96","airport","airport",1332
"24318","route","251","167","airport","airport",1361
"24334","route","251","253","airport","airport",1195
"24350","route","251","332","airport","airport",288
"24366","route","251","497","airport","airport",477
"24382","route","251","798","airport","airport",1221
"24398","route","251","1397","airport","airport",1526
"24414","route","252","93","airport","airport",2440
"24429","route","252","276","airport","airport",1632
"24445","route","253","60","airport","airport",191
"24461","route","253","174","airport","airport",836
"24477","route","253","313","airport","airport",800
"24493","route","253","509","airport","airport",1772
"24509","route","254","50","airport","airport",426
"24525","route","254","251","airport","airport",1421
"24541","route","254","1361","airport","airport",93
"24557","route","255","92","airport","airport",1827
"24573","route","255","206","airport","airport",1831
"24589","route","255","453","airport","airport",1174
"24605","route","255","562","airport","airport",731
"24621","route","255","1734","airport","airport",1449
"24637","route","256","106","airport","airport",1411
"24653","route","256","1168","airport","airport",2099
"24669","route","257","60","airport","airport",340
"24684","route","257","229","airport","airport",126
"24700","route","258","75","airport","airport",747
"24716","route","258","451","airport","airport",1487
"24732","route","259","80","airport","airport",1167
"24748","route","259","168","airport","airport",1274
"24764","route","259","453","airport","airport",1099
"24780","route","259","553","airport","airport",110
"24796","route","260","68","airport","airport",967
"24812","route","260","109","airport","airport",656
"24828","route","260","217","airport","airport",1129
"24844","route","260","452","airport","airport",429
"24860","route","260","498","airport","airport",828
"24876","route","260","787","airport","airport",994
"24892","route","261","68","airport","airport",1110
"24908","route","261","228","airport","airport",1993
"24924","route","261","475","airport","airport",182
"24955","route","262","538","airport","airport",280
"24971","route","263","26","airport","airport",815
"24987","route","264","178","airport","airport",332
"25003","route","265","46","airport","airport",625
"25019","route","266","1434","airport","airport",219
"25035","route","268","1","airport","airport",322
"25051","route","268","30","airport","airport",1619
"25067","route","269","3","airport","airport",1364
"25083","route","269","30","airport","airport",1980
"25099","route","270","178","airport","airport",763
"25115","route","271","244","airport","airport",437
"25131","route","272","640","airport","airport",263
"25147","route","274","94","airport","airport",222
"25163","route","274","200","airport","airport",345
"25179","route","274","483","airport","airport",808
"25195","route","274","726","airport","airport",1187
"25210","route","275","51","airport","airport",905
"25226","route","275","108","airport","airport",810
"25242","route","275","230","airport","airport",489
"25258","route","275","511","airport","airport",1234
"25274","route","276","52","airport","airport",174
"25290","route","276","108","airport","airport",272
"25306","route","276","230","airport","airport",604
"25322","route","276","482","airport","airport",582
"25338","route","276","800","airport","airport",507
"25354","route","278","186","airport","airport",460
"25370","route","279","87","airport","airport",777
"25386","route","279","198","airport","airport",809
"25402","route","279","535","airport","airport",1030
"25418","route","280","26","airport","airport",489
"25434","route","281","5","airport","airport",638
"25450","route","281","25","airport","airport",830
"25465","route","281","189","airport","airport",329
"25481","route","283","17","airport","airport",976
"25497","route","284","51","airport","airport",692
"25513","route","284","248","airport","airport",684
"25529","route","284","653","airport","airport",796
"25545","route","285","100","airport","airport",1598
"25561","route","285","665","airport","airport",1436
"25577","route","285","861","airport","airport",3917
"25593","route","286","68","airport","airport",1479
"25609","route","286","146","airport","airport",68
"25625","route","286","342","airport","airport",1312
"25641","route","286","1741","airport","airport",921
"25657","route","287","76","airport","airport",896
"25673","route","287","248","airport","airport",711
"25689","route","287","483","airport","airport",785
"25705","route","287","1944","airport","airport",433
"25720","route","288","549","airport","airport",1116
"25736","route","290","99","airport","airport",322
"25752","route","291","21","airport","airport",531
"25768","route","291","180","airport","airport",1662
"25784","route","292","2103","airport","airport",244
"25800","route","293","137","airport","airport",898
"25816","route","293","1290","airport","airport",12
"25832","route","294","641","airport","airport",751
"25848","route","295","11","airport","airport",514
"25864","route","296","11","airport","airport",1155
"25880","route","296","239","airport","airport",545
"25896","route","297","134","airport","airport",1710
"25912","route","297","596","airport","airport",160
"25928","route","297","2604","airport","airport",225
"25944","route","298","593","airport","airport",462
"25960","route","299","67","airport","airport",178
"25975","route","299","673","airport","airport",1083
"25991","route","299","904","airport","airport",266
"26007","route","299","1503","airport","airport",861
"26023","route","301","46","airport","airport",345
"26039","route","302","89","airport","airport",467
"26055","route","302","469","airport","airport",753
"26071","route","303","68","airport","airport",598
"26087","route","303","144","airport","airport",1680
"26103","route","303","502","airport","airport",477
"26119","route","303","1668","airport","airport",193
"26135","route","304","37","airport","airport",216
"26151","route","305","549","airport","airport",668
"26167","route","306","243","airport","airport",531
"26183","route","307","16","airport","airport",1115
"26199","route","308","15","airport","airport",1022
"26215","route","309","1295","airport","airport",1102
"26230","route","311","95","airport","airport",310
"26246","route","311","313","airport","airport",1087
"26262","route","312","25","airport","airport",344
"26278","route","312","103","airport","airport",5947
"26294","route","312","559","airport","airport",419
"26310","route","313","76","airport","airport",451
"26326","route","313","173","airport","airport",522
"26342","route","313","509","airport","airport",1134
"26358","route","314","33","airport","airport",135
"26374","route","315","207","airport","airport",1142
"26390","route","315","2304","airport","airport",303
"26406","route","316","106","airport","airport",1447
"26422","route","316","1187","airport","airport",199
"26438","route","317","522","airport","airport",1801
"26454","route","318","80","airport","airport",1184
"26470","route","318","320","airport","airport",1430
"26485","route","318","653","airport","airport",477
"26501","route","318","1199","airport","airport",586
"26517","route","318","2644","airport","airport",1124
"26533","route","318","2717","airport","airport",1931
"26549","route","319","70","airport","airport",805
"26565","route","319","111","airport","airport",153
"26581","route","319","342","airport","airport",831
"26597","route","320","75","airport","airport",2409
"26613","route","320","722","airport","airport",1964
"26629","route","320","2640","airport","airport",368
"26645","route","321","101","airport","airport",3560
"26661","route","321","346","airport","airport",1583
"26677","route","321","1395","airport","airport",1009
"26693","route","322","164","airport","airport",1326
"26709","route","323","126","airport","airport",2902
"26725","route","323","848","airport","airport",702
"26740","route","324","217","airport","airport",870
"26756","route","325","79","airport","airport",3874
"26772","route","326","49","airport","airport",437
"26788","route","326","110","airport","airport",1215
"26804","route","326","257","airport","airport",564
