~id,~label,~from,~to,~fromLabels,~toLabels
"50839","contains","3410","1353","country","airport"
"50855","contains","3460","1369","country","airport"
"50871","contains","3503","1385","country","airport"
"50887","contains","3555","1401","country","airport"
"50903","contains","3555","1417","country","airport"
"50919","contains","3597","1433","country","airport"
"50935","contains","3435","1449","country","airport"
"50950","contains","3410","1464","country","airport"
"50966","contains","3440","1480","country","airport"
"50982","contains","3440","1496","country","airport"
"50998","contains","3440","1512","country","airport"
"51014","contains","3440","1528","country","airport"
"51030","contains","3537","1544","country","airport"
"51046","contains","3406","1560","country","airport"
"51062","contains","3426","1576","country","airport"
"51078","contains","3426","1592","country","airport"
"51094","contains","3439","1608","country","airport"
"51110","contains","3563","1624","country","airport"
"51126","contains","3602","1640","country","airport"
"51142","contains","3602","1656","country","airport"
"51158","contains","3542","1672","country","airport"
"51174","contains","3598","1688","country","airport"
"51190","contains","3598","1704","country","airport"
"51205","contains","3634","1719","country","airport"
"51221","contains","3621","1735","country","airport"
"51237","contains","3482","1751","country","airport"
"51253","contains","3519","1767","country","airport"
"51269","contains","3597","1783","country","airport"
"51285","contains","3560","1799","country","airport"
"51301","contains","3418","1815","country","airport"
"51317","contains","3440","1831","country","airport"
"51333","contains","3435","1847","country","airport"
"51349","contains","3435","1863","country","airport"
"51365","contains","3435","1879","country","airport"
"51381","contains","3400","1895","country","airport"
"51397","contains","3552","1911","country","airport"
"51413","contains","3466","1927","country","airport"
"51429","contains","3456","1943","country","airport"
"51445","contains","3555","1959","country","airport"
"51460","contains","3633","1974","country","airport"
"51476","contains","3525","1990","country","airport"
"51492","contains","3544","2006","country","airport"
"51508","contains","3631","2022","country","airport"
"51524","contains","3467","2038","country","airport"
"51540","contains","3509","2054","country","airport"
"51556","contains","3440","2070","country","airport"
"51572","contains","3623","2086","country","airport"
"51588","contains","3623","2102","country","airport"
"51604","contains","3482","2118","country","airport"
"51620","contains","3572","2134","country","airport"
"51636","contains","3615","2150","country","airport"
"51652","contains","3615","2166","country","airport"
"51668","contains","3445","2182","country","airport"
"51684","contains","3412","2198","country","airport"
"51700","contains","3472","2214","country","airport"
"51715","contains","3476","2229","country","airport"
"51731","contains","3626","2245","country","airport"
"51747","contains","3398","2261","country","airport"
"51763","contains","3440","2277","country","airport"
"51779","contains","3499","2293","country","airport"
"51795","contains","3559","2309","country","airport"
"51811","contains","3623","2325","country","airport"
"51827","contains","3623","2341","country","airport"
"51843","contains","3623","2357","country","airport"
"51859","contains","3623","2373","country","airport"
"51875","contains","3623","2389","country","airport"
"51891","contains","3505","2405","country","airport"
"51907","contains","3505","2421","country","airport"
"51923","contains","3564","2437","country","airport"
"51939","contains","3573","2453","country","airport"
"51955","contains","3406","2469","country","airport"
"51970","contains","3426","2484","country","airport"
"51986","contains","3426","2500","country","airport"
"52002","contains","3426","2516","country","airport"
"52018","contains","3462","2532","country","airport"
"52034","contains","3442","2548","country","airport"
"52050","contains","3442","2564","country","airport"
"52066","contains","3426","2580","country","airport"
"52082","contains","3627","2596","country","airport"
"52098","contains","3426","2612","country","airport"
"52114","contains","3508","2628","country","airport"
"52130","contains","3411","2644","country","airport"
"52146","contains","3573","2660","country","airport"
"52162","contains","3573","2676","country","airport"
"52178","contains","3573","2692","country","airport"
"52194","contains","3573","2708","country","airport"
"52210","contains","3625","2724","country","airport"
"52225","contains","3573","2739","country","airport"
"52241","contains","3496","2755","country","airport"
"52257","contains","3547","2771","country","airport"
"52273","contains","3530","2787","country","airport"
"52289","contains","3611","2803","country","airport"
"52305","contains","3629","2819","country","airport"
"52321","contains","3536","2835","country","airport"
"52337","contains","3497","2851","country","airport"
"52353","contains","3497","2867","country","airport"
"52369","contains","3527","2883","country","airport"
"52385","contains","3497","2899","country","airport"
"52401","contains","3410","2915","country","airport"
"52417","contains","3410","2931","country","airport"
"52433","contains","3440","2947","country","airport"
"52449","contains","3440","2963","country","airport"
"52465","contains","3440","2979","country","airport"
"52480","contains","3623","2994","country","airport"
"52496","contains","3476","3010","country","airport"
"52512","contains","3496","3026","country","airport"
"52528","contains","3497","3042","country","airport"
"52544","contains","3540","3058","country","airport"
"52560","contains","3410","3074","country","airport"
"52576","contains","3627","3090","country","airport"
"52592","contains","3499","3106","country","airport"
"52608","contains","3623","3122","country","airport"
"52624","contains","3622","3138","country","airport"
"52640","contains","3435","3154","country","airport"
"52656","contains","3509","3170","country","airport"
"52672","contains","3559","3186","country","airport"
"52688","contains","3440","3202","country","airport"
"52704","contains","3435","3218","country","airport"
"52720","contains","3461","3234","country","airport"
"52751","contains","3450","3265","country","airport"
"52767","contains","3410","3281","country","airport"
"52783","contains","3440","3297","country","airport"
"52799","contains","3623","3313","country","airport"
"52815","contains","3440","3329","country","airport"
"52831","contains","3410","3345","country","airport"
"52847","contains","3573","3361","country","airport"
"52863","contains","3496","3377","country","airport"
"52879","contains","3527","3393","country","airport"
"49501","contains","3623","15","country","airport"
"49517","contains","3623","31","country","airport"
"49533","contains","3435","47","country","airport"
"49549","contains","3556","63","country","airport"
"49565","contains","3417","79","country","airport"
"49581","contains","3621","95","country","airport"
"49597","contains","3449","111","country","airport"
"49613","contains","3598","127","country","airport"
"49629","contains","3590","143","country","airport"
"49645","contains","3623","159","country","airport"
"49661","contains","3503","175","country","airport"
"49676","contains","3623","190","country","airport"
"49692","contains","3621","206","country","airport"
"49708","contains","3613","222","country","airport"
"49724","contains","3623","238","country","airport"
"49740","contains","3621","254","country","airport"
"49756","contains","3623","270","country","airport"
"49772","contains","3507","286","country","airport"
"49788","contains","3466","302","country","airport"
"49804","contains","3573","318","country","airport"
"49820","contains","3552","334","country","airport"
"49836","contains","3414","350","country","airport"
"49852","contains","3537","366","country","airport"
"49868","contains","3623","382","country","airport"
"49884","contains","3623","398","country","airport"
"49900","contains","3537","414","country","airport"
"49916","contains","3623","430","country","airport"
"49931","contains","3623","445","country","airport"
"49947","contains","3501","461","country","airport"
"49963","contains","3500","477","country","airport"
"49979","contains","3399","493","country","airport"
"49995","contains","3482","509","country","airport"
"50011","contains","3623","525","country","airport"
"50027","contains","3566","541","country","airport"
"50043","contains","3615","557","country","airport"
"50059","contains","3459","573","country","airport"
"50075","contains","3426","589","country","airport"
"50091","contains","3623","605","country","airport"
"50107","contains","3623","621","country","airport"
"50123","contains","3566","637","country","airport"
"50139","contains","3521","653","country","airport"
"50155","contains","3440","669","country","airport"
"50171","contains","3505","685","country","airport"
"50186","contains","3428","700","country","airport"
"50202","contains","3527","716","country","airport"
"50218","contains","3497","732","country","airport"
"50234","contains","3505","748","country","airport"
"50250","contains","3505","764","country","airport"
"50266","contains","3505","780","country","airport"
"50282","contains","3614","796","country","airport"
"50298","contains","3573","812","country","airport"
"50314","contains","3400","828","country","airport"
"50330","contains","3477","844","country","airport"
"50346","contains","3407","860","country","airport"
"50362","contains","3623","876","country","airport"
"50378","contains","3623","892","country","airport"
"50394","contains","3623","908","country","airport"
"50410","contains","3623","924","country","airport"
"50426","contains","3623","940","country","airport"
"50441","contains","3623","955","country","airport"
"50457","contains","3472","971","country","airport"
"50473","contains","3410","987","country","airport"
"50489","contains","3410","1003","country","airport"
"50505","contains","3556","1019","country","airport"
"50521","contains","3573","1035","country","airport"
"50537","contains","3623","1051","country","airport"
"50553","contains","3623","1067","country","airport"
"50569","contains","3623","1083","country","airport"
"50585","contains","3623","1099","country","airport"
"50601","contains","3623","1115","country","airport"
"50617","contains","3435","1131","country","airport"
"50633","contains","3527","1147","country","airport"
"50649","contains","3435","1163","country","airport"
"50665","contains","3499","1179","country","airport"
"50681","contains","3513","1195","country","airport"
"50696","contains","3595","1210","country","airport"
"50712","contains","3572","1226","country","airport"
"50728","contains","3435","1242","country","airport"
"50744","contains","3435","1258","country","airport"
"50760","contains","3623","1274","country","airport"
"50776","contains","3404","1290","country","airport"
"50792","contains","3473","1306","country","airport"
"50808","contains","3496","1322","country","airport"
"50824","contains","3496","1338","country","airport"
"50840","contains","3441","1354","country","airport"
"50856","contains","3478","1370","country","airport"
"50872","contains","3503","1386","country","airport"
"50888","contains","3555","1402","country","airport"
"50904","contains","3521","1418","country","airport"
"50920","contains","3435","1434","country","airport"
"50936","contains","3435","1450","country","airport"
"50951","contains","3410","1465","country","airport"
"50967","contains","3440","1481","country","airport"
"50983","contains","3440","1497","country","airport"
"50999","contains","3440","1513","country","airport"
"51015","contains","3440","1529","country","airport"
"51031","contains","3537","1545","country","airport"
"51047","contains","3406","1561","country","airport"
"51063","contains","3426","1577","country","airport"
"51079","contains","3426","1593","country","airport"
"51095","contains","3439","1609","country","airport"
"51111","contains","3563","1625","country","airport"
"51127","contains","3602","1641","country","airport"
"51143","contains","3602","1657","country","airport"
"51159","contains","3474","1673","country","airport"
"51175","contains","3598","1689","country","airport"
"51191","contains","3425","1705","country","airport"
"51206","contains","3634","1720","country","airport"
