~id,~label,~from,~to,~fromLabels,~toLabels
"53198","contains","3639","315","continent","airport"
"53214","contains","3635","331","continent","airport"
"53230","contains","3635","347","continent","airport"
"53246","contains","3637","363","continent","airport"
"53261","contains","3637","378","continent","airport"
"53277","contains","3637","394","continent","airport"
"53293","contains","3637","410","continent","airport"
"53309","contains","3637","426","continent","airport"
"53325","contains","3640","442","continent","airport"
"53341","contains","3639","458","continent","airport"
"53357","contains","3635","474","continent","airport"
"53373","contains","3636","490","continent","airport"
"53389","contains","3635","506","continent","airport"
"53405","contains","3635","522","continent","airport"
"53421","contains","3635","538","continent","airport"
"53437","contains","3635","554","continent","airport"
"53453","contains","3637","570","continent","airport"
"53469","contains","3638","586","continent","airport"
"53485","contains","3637","602","continent","airport"
"53501","contains","3637","618","continent","airport"
"53516","contains","3637","633","continent","airport"
"53532","contains","3637","649","continent","airport"
"53548","contains","3639","665","continent","airport"
"53564","contains","3639","681","continent","airport"
"53580","contains","3639","697","continent","airport"
"53596","contains","3639","713","continent","airport"
"53612","contains","3639","729","continent","airport"
"53628","contains","3639","745","continent","airport"
"53644","contains","3639","761","continent","airport"
"53660","contains","3639","777","continent","airport"
"53676","contains","3635","793","continent","airport"
"53692","contains","3635","809","continent","airport"
"53708","contains","3639","825","continent","airport"
"53724","contains","3636","841","continent","airport"
"53740","contains","3635","857","continent","airport"
"53756","contains","3637","873","continent","airport"
"53771","contains","3637","888","continent","airport"
"53787","contains","3639","904","continent","airport"
"53803","contains","3637","920","continent","airport"
"53819","contains","3637","936","continent","airport"
"53835","contains","3637","952","continent","airport"
"53851","contains","3637","968","continent","airport"
"53867","contains","3640","984","continent","airport"
"53883","contains","3640","1000","continent","airport"
"53899","contains","3640","1016","continent","airport"
"53915","contains","3640","1032","continent","airport"
"53931","contains","3639","1048","continent","airport"
"53947","contains","3637","1064","continent","airport"
"53963","contains","3637","1080","continent","airport"
"53979","contains","3637","1096","continent","airport"
"53995","contains","3637","1112","continent","airport"
"54011","contains","3637","1128","continent","airport"
"54026","contains","3637","1143","continent","airport"
"54042","contains","3637","1159","continent","airport"
"54058","contains","3639","1175","continent","airport"
"54074","contains","3639","1191","continent","airport"
"54090","contains","3636","1207","continent","airport"
"54106","contains","3635","1223","continent","airport"
"54122","contains","3635","1239","continent","airport"
"54138","contains","3637","1255","continent","airport"
"54154","contains","3635","1271","continent","airport"
"54170","contains","3637","1287","continent","airport"
"54186","contains","3635","1303","continent","airport"
"54202","contains","3639","1319","continent","airport"
"54218","contains","3639","1335","continent","airport"
"54234","contains","3640","1351","continent","airport"
"54250","contains","3635","1367","continent","airport"
"54266","contains","3635","1383","continent","airport"
"54281","contains","3635","1398","continent","airport"
"54297","contains","3635","1414","continent","airport"
"54313","contains","3635","1430","continent","airport"
"54329","contains","3637","1446","continent","airport"
"54345","contains","3640","1462","continent","airport"
"54361","contains","3639","1478","continent","airport"
"54377","contains","3639","1494","continent","airport"
"54393","contains","3639","1510","continent","airport"
"54409","contains","3639","1526","continent","airport"
"54425","contains","3637","1542","continent","airport"
"54441","contains","3638","1558","continent","airport"
"54457","contains","3638","1574","continent","airport"
"54473","contains","3638","1590","continent","airport"
"54489","contains","3638","1606","continent","airport"
"54505","contains","3638","1622","continent","airport"
"54521","contains","3637","1638","continent","airport"
"54536","contains","3635","1653","continent","airport"
"54552","contains","3636","1669","continent","airport"
"54568","contains","3639","1685","continent","airport"
"54584","contains","3636","1701","continent","airport"
"54600","contains","3636","1717","continent","airport"
"54616","contains","3635","1733","continent","airport"
"54632","contains","3635","1749","continent","airport"
"54648","contains","3635","1765","continent","airport"
"54664","contains","3640","1781","continent","airport"
"54680","contains","3640","1797","continent","airport"
"54696","contains","3638","1813","continent","airport"
"54712","contains","3639","1829","continent","airport"
"54728","contains","3637","1845","continent","airport"
"54744","contains","3637","1861","continent","airport"
"54760","contains","3637","1877","continent","airport"
"54776","contains","3636","1893","continent","airport"
"54791","contains","3636","1908","continent","airport"
"54807","contains","3635","1924","continent","airport"
"54823","contains","3635","1940","continent","airport"
"54839","contains","3635","1956","continent","airport"
"54855","contains","3636","1972","continent","airport"
"54871","contains","3636","1988","continent","airport"
"54887","contains","3636","2004","continent","airport"
"54903","contains","3636","2020","continent","airport"
"54919","contains","3636","2036","continent","airport"
"54935","contains","3636","2052","continent","airport"
"54951","contains","3636","2068","continent","airport"
"54967","contains","3637","2084","continent","airport"
"54983","contains","3637","2100","continent","airport"
"54999","contains","3635","2116","continent","airport"
"55015","contains","3635","2132","continent","airport"
"55031","contains","3639","2148","continent","airport"
"55046","contains","3639","2163","continent","airport"
"55062","contains","3637","2179","continent","airport"
"55078","contains","3637","2195","continent","airport"
"55094","contains","3640","2211","continent","airport"
"55110","contains","3640","2227","continent","airport"
"55126","contains","3640","2243","continent","airport"
"55142","contains","3640","2259","continent","airport"
"55158","contains","3639","2275","continent","airport"
"55174","contains","3639","2291","continent","airport"
"55190","contains","3639","2307","continent","airport"
"55206","contains","3637","2323","continent","airport"
"55222","contains","3637","2339","continent","airport"
"55238","contains","3637","2355","continent","airport"
"55254","contains","3637","2371","continent","airport"
"55270","contains","3637","2387","continent","airport"
"55286","contains","3639","2403","continent","airport"
"55301","contains","3639","2418","continent","airport"
"55317","contains","3639","2434","continent","airport"
"55333","contains","3639","2450","continent","airport"
"55349","contains","3638","2466","continent","airport"
"55365","contains","3638","2482","continent","airport"
"55381","contains","3638","2498","continent","airport"
"55397","contains","3638","2514","continent","airport"
"55413","contains","3638","2530","continent","airport"
"55429","contains","3638","2546","continent","airport"
"55445","contains","3638","2562","continent","airport"
"55461","contains","3638","2578","continent","airport"
"55477","contains","3638","2594","continent","airport"
"55493","contains","3638","2610","continent","airport"
"55509","contains","3637","2626","continent","airport"
"55525","contains","3639","2642","continent","airport"
"55541","contains","3639","2658","continent","airport"
"55556","contains","3635","2673","continent","airport"
"55572","contains","3639","2689","continent","airport"
"55588","contains","3639","2705","continent","airport"
"55604","contains","3639","2721","continent","airport"
"55620","contains","3635","2737","continent","airport"
"55636","contains","3639","2753","continent","airport"
"55652","contains","3639","2769","continent","airport"
"55668","contains","3639","2785","continent","airport"
"55684","contains","3639","2801","continent","airport"
"55700","contains","3639","2817","continent","airport"
"55716","contains","3639","2833","continent","airport"
"55732","contains","3639","2849","continent","airport"
"55748","contains","3639","2865","continent","airport"
"55764","contains","3639","2881","continent","airport"
"55780","contains","3639","2897","continent","airport"
"55796","contains","3640","2913","continent","airport"
"55811","contains","3640","2928","continent","airport"
"55827","contains","3639","2944","continent","airport"
"55843","contains","3639","2960","continent","airport"
"55859","contains","3639","2976","continent","airport"
"55875","contains","3636","2992","continent","airport"
"55891","contains","3637","3008","continent","airport"
"55907","contains","3639","3024","continent","airport"
"55923","contains","3637","3040","continent","airport"
